KRX코드,YTD수익률,1년수익률,시작일_YTD,시작일_1년,기준일자
495040,66.65,141.81,20260102,20250807,20260806
301400,-13.7,1.33,20260102,20250807,20260806
227830,45.14,95.23,20260102,20250807,20260806
122090,63.91,151.78,20260102,20250807,20260806
328370,46.62,98.51,20260102,20250807,20260806
457990,67.93,102.77,20260102,20250807,20260806
0132K0,-19.12,,20260102,20250807,20260806
0000J0,8.83,4.95,20260102,20250807,20260806
148020,57.77,127.11,20260102,20250807,20260806
361580,59.03,129.61,20260102,20250807,20260806
290080,-14.42,-22.12,20260102,20250807,20260806
284980,29.71,42.89,20260102,20250807,20260806
252400,85.02,269.81,20260102,20250807,20260806
252410,-51.55,-66.97,20260102,20250807,20260806
252420,-82.19,-92.11,20260102,20250807,20260806
475720,7.19,24.2,20260102,20250807,20260806
183700,23.33,39.43,20260102,20250807,20260806
0122W0,1.7,,20260102,20250807,20260806
465330,4.81,17.6,20260102,20250807,20260806
465350,-27.99,-41.34,20260102,20250807,20260806
422420,-8.95,-2.52,20260102,20250807,20260806
105780,60.46,133.66,20260102,20250807,20260806
469070,-14.47,19.63,20260102,20250807,20260806
0093A0,54.88,,20260102,20250807,20260806
0101N0,46.72,,20260102,20250807,20260806
427120,-30.02,-37.49,20260102,20250807,20260806
